,Hour,Temp,Humidity,Wind,Visibility,DewTemp,SolarRad,Rainfall,Snowfall,Seasons,Holiday,FuncDay,Day,WeekDay,Month,Year,RentalCount
4879,7.0,18.8,66.0,1.1,814.0,12.3,0.46,0.0,0.0,Summer,No Holiday,Yes,22,Friday,June,2018,1529.0
1504,16.0,1.1,26.0,2.1,1957.0,-16.3,0.82,0.0,0.0,Winter,No Holiday,Yes,1,Thursday,February,2018,268.0
4264,16.0,24.0,36.0,1.6,1811.0,7.9,1.34,0.0,0.0,Spring,No Holiday,Yes,27,Sunday,May,2018,2242.0
1806,6.0,1.1,66.0,0.9,1550.0,-4.5,0.0,0.0,0.0,Winter,No Holiday,Yes,14,Wednesday,February,2018,108.0
8506,10.0,5.1,33.0,1.4,1842.0,-9.8,1.1,0.0,0.0,Autumn,No Holiday,Yes,20,Tuesday,November,2018,659.0
1121,17.0,5.2,58.0,0.8,462.0,-2.4,0.08,0.0,0.0,Winter,No Holiday,Yes,16,Tuesday,January,2018,381.0
5245,13.0,27.5,43.0,2.0,2000.0,13.7,3.41,0.0,0.0,Summer,No Holiday,Yes,7,Saturday,July,2018,1399.0
8331,3.0,5.3,62.0,0.0,1485.0,-1.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,13,Tuesday,November,2018,205.0
6756,12.0,25.2,36.0,2.4,1995.0,9.0,2.93,0.0,0.0,Autumn,No Holiday,Yes,8,Saturday,September,2018,1273.0
4508,20.0,23.4,64.0,1.8,1144.0,16.1,0.07,0.0,0.0,Summer,Holiday,Yes,6,Wednesday,June,2018,2145.0
4588,4.0,18.3,72.0,1.7,2000.0,13.1,0.0,0.0,0.0,Summer,No Holiday,Yes,10,Sunday,June,2018,174.0
4299,3.0,20.0,58.0,1.8,1279.0,11.4,0.0,0.0,0.0,Spring,No Holiday,Yes,29,Tuesday,May,2018,285.0
7519,7.0,12.3,84.0,3.2,1220.0,9.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,10,Wednesday,October,2018,1220.0
6045,21.0,27.8,82.0,0.3,1397.0,24.4,0.0,0.0,0.0,Summer,No Holiday,Yes,9,Thursday,August,2018,1654.0
4074,18.0,24.0,34.0,1.7,2000.0,7.1,1.22,0.0,0.0,Spring,No Holiday,Yes,19,Saturday,May,2018,2439.0
416,8.0,-4.6,86.0,1.2,508.0,-6.5,0.0,0.0,2.0,Winter,No Holiday,Yes,18,Monday,December,2017,146.0
2973,21.0,17.0,83.0,3.2,744.0,14.0,0.0,0.0,0.0,Spring,No Holiday,Yes,3,Tuesday,April,2018,1223.0
5496,0.0,26.2,79.0,0.7,850.0,22.2,0.0,0.0,0.0,Summer,No Holiday,Yes,18,Wednesday,July,2018,1002.0
2431,7.0,3.0,53.0,0.5,1094.0,-5.6,0.0,0.0,0.0,Spring,No Holiday,Yes,12,Monday,March,2018,662.0
3869,5.0,11.9,84.0,1.5,358.0,9.2,0.0,0.0,0.0,Spring,No Holiday,Yes,11,Friday,May,2018,223.0
564,12.0,4.1,91.0,0.8,404.0,2.7,0.07,9.5,0.0,Winter,Holiday,Yes,24,Sunday,December,2017,4.0
2526,6.0,4.4,61.0,1.7,2000.0,-2.4,0.0,0.0,0.0,Spring,No Holiday,Yes,16,Friday,March,2018,222.0
5204,20.0,25.8,68.0,1.4,2000.0,19.4,0.09,0.0,0.0,Summer,No Holiday,Yes,5,Thursday,July,2018,2122.0
4271,23.0,17.9,53.0,1.9,1774.0,8.1,0.0,0.0,0.0,Spring,No Holiday,Yes,27,Sunday,May,2018,1071.0
3251,11.0,11.8,57.0,2.6,1041.0,3.5,2.18,0.0,0.0,Spring,No Holiday,Yes,15,Sunday,April,2018,797.0
1224,0.0,-0.3,60.0,1.9,340.0,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,21,Sunday,January,2018,196.0
142,22.0,1.3,92.0,0.6,233.0,0.1,0.0,0.0,1.0,Winter,No Holiday,Yes,6,Wednesday,December,2017,222.0
4603,19.0,23.4,55.0,1.0,2000.0,13.8,0.12,0.0,0.0,Summer,No Holiday,Yes,10,Sunday,June,2018,2267.0
1490,2.0,-5.5,53.0,2.1,1980.0,-13.5,0.0,0.0,1.6,Winter,No Holiday,Yes,1,Thursday,February,2018,103.0
7201,1.0,16.1,53.0,1.4,2000.0,6.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,27,Thursday,September,2018,488.0
5228,20.0,23.8,55.0,2.3,2000.0,14.2,0.05,0.0,0.0,Summer,No Holiday,Yes,6,Friday,July,2018,2223.0
6511,7.0,25.0,85.0,3.0,2000.0,22.2,0.02,0.0,0.0,Summer,No Holiday,Yes,29,Wednesday,August,2018,862.0
4228,4.0,14.8,73.0,0.5,994.0,9.9,0.0,0.0,0.0,Spring,No Holiday,Yes,26,Saturday,May,2018,232.0
4538,2.0,18.6,84.0,2.5,619.0,15.8,0.0,0.0,0.0,Summer,No Holiday,Yes,8,Friday,June,2018,525.0
2653,13.0,4.0,64.0,2.0,1834.0,-2.2,0.75,0.0,0.0,Spring,No Holiday,Yes,21,Wednesday,March,2018,196.0
2004,12.0,4.8,47.0,2.6,1373.0,-5.5,1.72,0.0,0.0,Winter,No Holiday,Yes,22,Thursday,February,2018,352.0
1194,18.0,2.9,45.0,1.6,1629.0,-7.8,0.04,0.0,0.0,Winter,No Holiday,Yes,19,Friday,January,2018,702.0
4938,18.0,29.8,35.0,3.3,1805.0,12.6,1.15,0.0,0.0,Summer,No Holiday,Yes,24,Sunday,June,2018,2094.0
3409,1.0,15.9,39.0,0.2,2000.0,1.9,0.0,0.0,0.0,Spring,No Holiday,Yes,22,Sunday,April,2018,578.0
6691,19.0,25.4,55.0,3.2,2000.0,15.6,0.15,0.0,0.0,Autumn,No Holiday,Yes,5,Wednesday,September,2018,2468.0
6328,16.0,30.4,53.0,2.0,1990.0,19.7,1.82,0.0,0.0,Summer,No Holiday,Yes,21,Tuesday,August,2018,1112.0
1756,4.0,-8.6,31.0,3.5,2000.0,-22.7,0.0,0.0,0.0,Winter,No Holiday,Yes,12,Monday,February,2018,33.0
497,17.0,2.9,60.0,1.3,1193.0,-4.1,0.16,0.0,0.8,Winter,No Holiday,Yes,21,Thursday,December,2017,366.0
4302,6.0,19.5,64.0,0.4,1268.0,12.5,0.02,0.0,0.0,Spring,No Holiday,Yes,29,Tuesday,May,2018,625.0
3820,4.0,10.0,64.0,1.5,2000.0,3.4,0.0,0.0,0.0,Spring,No Holiday,Yes,9,Wednesday,May,2018,114.0
870,6.0,-6.5,67.0,0.7,1175.0,-11.6,0.0,0.0,0.0,Winter,No Holiday,Yes,6,Saturday,January,2018,69.0
3357,21.0,14.2,44.0,2.4,1290.0,2.1,0.0,0.0,0.0,Spring,No Holiday,Yes,19,Thursday,April,2018,1165.0
912,0.0,0.9,42.0,1.1,1271.0,-10.5,0.0,0.0,0.0,Winter,No Holiday,Yes,8,Monday,January,2018,149.0
721,1.0,0.5,95.0,2.1,79.0,-0.2,0.0,0.0,0.6,Winter,Holiday,Yes,31,Sunday,December,2017,43.0
5803,19.0,35.2,43.0,0.9,2000.0,20.7,0.42,0.0,0.0,Summer,No Holiday,Yes,30,Monday,July,2018,2016.0
8709,21.0,4.2,31.0,1.1,1741.0,-11.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,28,Wednesday,November,2018,846.0
6760,16.0,27.7,32.0,1.4,2000.0,9.4,2.05,0.0,0.0,Autumn,No Holiday,Yes,8,Saturday,September,2018,1943.0
8394,18.0,12.1,46.0,1.4,799.0,0.8,0.01,0.0,0.0,Autumn,No Holiday,Yes,15,Thursday,November,2018,2034.0
8337,9.0,6.0,59.0,1.0,719.0,-1.4,0.6,0.0,0.0,Autumn,No Holiday,Yes,13,Tuesday,November,2018,990.0
1496,8.0,-8.6,59.0,1.0,1948.0,-15.1,0.01,0.0,1.6,Winter,No Holiday,Yes,1,Thursday,February,2018,459.0
4035,3.0,18.3,98.0,1.6,320.0,17.9,0.0,2.0,0.0,Spring,No Holiday,Yes,18,Friday,May,2018,47.0
1520,8.0,-7.4,58.0,2.2,1882.0,-14.2,0.01,0.0,0.0,Winter,No Holiday,Yes,2,Friday,February,2018,558.0
5867,11.0,35.3,45.0,1.7,1829.0,21.5,2.27,0.0,0.0,Summer,No Holiday,Yes,2,Thursday,August,2018,547.0
7338,18.0,19.2,48.0,2.2,2000.0,7.9,0.28,0.0,0.0,Autumn,No Holiday,No,2,Tuesday,October,2018,0.0
2746,10.0,8.4,65.0,1.8,229.0,2.1,1.67,0.0,0.0,Spring,No Holiday,Yes,25,Sunday,March,2018,359.0
4334,14.0,24.3,58.0,2.9,1211.0,15.5,2.92,0.0,0.0,Spring,No Holiday,Yes,30,Wednesday,May,2018,1119.0
314,2.0,-10.6,44.0,0.8,1903.0,-20.5,0.0,0.0,0.0,Winter,No Holiday,Yes,14,Thursday,December,2017,107.0
6517,13.0,27.1,75.0,3.7,1972.0,22.2,0.28,0.0,0.0,Summer,No Holiday,Yes,29,Wednesday,August,2018,540.0
7478,14.0,20.2,24.0,1.5,2000.0,-1.0,1.8,0.0,0.0,Autumn,No Holiday,Yes,8,Monday,October,2018,1358.0
3350,14.0,20.5,17.0,3.1,1512.0,-5.4,2.83,0.0,0.0,Spring,No Holiday,Yes,19,Thursday,April,2018,996.0
108,12.0,-2.3,25.0,0.0,1962.0,-19.7,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Tuesday,December,2017,321.0
1754,2.0,-8.3,49.0,2.7,2000.0,-17.1,0.0,0.0,0.0,Winter,No Holiday,Yes,12,Monday,February,2018,45.0
6521,17.0,24.6,93.0,0.9,1451.0,23.3,0.0,1.5,0.0,Summer,No Holiday,Yes,29,Wednesday,August,2018,160.0
1351,7.0,-17.5,38.0,3.4,2000.0,-28.4,0.0,0.0,0.5,Winter,No Holiday,Yes,26,Friday,January,2018,142.0
3129,9.0,11.9,35.0,1.1,1664.0,-3.1,0.95,0.0,0.0,Spring,No Holiday,Yes,10,Tuesday,April,2018,982.0
8364,12.0,14.2,45.0,0.9,1531.0,2.4,1.86,0.0,0.0,Autumn,No Holiday,Yes,14,Wednesday,November,2018,963.0
5244,12.0,26.4,47.0,1.7,2000.0,14.1,3.26,0.0,0.0,Summer,No Holiday,Yes,7,Saturday,July,2018,1328.0
5148,12.0,30.1,64.0,1.2,2000.0,22.5,2.54,0.0,0.0,Summer,No Holiday,Yes,3,Tuesday,July,2018,944.0
480,0.0,-1.3,90.0,2.0,259.0,-2.7,0.0,0.0,2.2,Winter,No Holiday,Yes,21,Thursday,December,2017,166.0
4216,16.0,24.3,27.0,4.1,1892.0,4.0,1.78,0.0,0.0,Spring,No Holiday,Yes,25,Friday,May,2018,1533.0
1973,5.0,-4.0,35.0,1.8,2000.0,-17.2,0.0,0.0,0.0,Winter,No Holiday,Yes,21,Wednesday,February,2018,63.0
336,0.0,-5.7,53.0,0.6,1262.0,-13.7,0.0,0.0,0.0,Winter,No Holiday,Yes,15,Friday,December,2017,227.0
2764,4.0,5.5,96.0,2.0,53.0,4.9,0.0,0.0,0.0,Spring,No Holiday,Yes,26,Monday,March,2018,65.0
5845,13.0,37.9,38.0,2.3,1868.0,21.1,3.05,0.0,0.0,Summer,No Holiday,Yes,1,Wednesday,August,2018,533.0
6545,17.0,26.8,73.0,2.6,916.0,21.5,0.37,0.0,0.0,Summer,No Holiday,Yes,30,Thursday,August,2018,1473.0
4085,5.0,12.1,47.0,1.6,2000.0,1.1,0.0,0.0,0.0,Spring,No Holiday,Yes,20,Sunday,May,2018,160.0
4317,21.0,19.9,93.0,1.4,416.0,18.7,0.0,0.0,0.0,Spring,No Holiday,Yes,29,Tuesday,May,2018,1041.0
524,20.0,5.9,67.0,1.3,779.0,0.2,0.0,0.0,0.0,Winter,Holiday,Yes,22,Friday,December,2017,323.0
7601,17.0,18.7,33.0,1.1,1164.0,2.0,0.7,0.0,0.0,Autumn,No Holiday,Yes,13,Saturday,October,2018,1995.0
3477,21.0,11.5,47.0,1.1,2000.0,0.5,0.0,0.0,0.0,Spring,No Holiday,Yes,24,Tuesday,April,2018,1372.0
3912,0.0,15.5,97.0,1.5,181.0,15.0,0.0,0.5,0.0,Spring,No Holiday,Yes,13,Sunday,May,2018,145.0
5707,19.0,32.3,63.0,2.1,1037.0,24.3,0.41,0.0,0.0,Summer,No Holiday,Yes,26,Thursday,July,2018,1994.0
2809,1.0,11.6,74.0,1.2,374.0,7.1,0.0,0.0,0.0,Spring,No Holiday,Yes,28,Wednesday,March,2018,337.0
724,4.0,-0.2,87.0,3.5,246.0,-2.1,0.0,0.0,1.2,Winter,Holiday,Yes,31,Sunday,December,2017,32.0
765,21.0,-0.9,44.0,1.2,1871.0,-11.6,0.0,0.0,0.0,Winter,Holiday,Yes,1,Monday,January,2018,203.0
7598,14.0,19.3,27.0,1.3,1384.0,-0.1,2.38,0.0,0.0,Autumn,No Holiday,Yes,13,Saturday,October,2018,1712.0
5804,20.0,33.9,46.0,1.4,2000.0,20.6,0.03,0.0,0.0,Summer,No Holiday,Yes,30,Monday,July,2018,1947.0
5219,11.0,23.9,59.0,2.1,2000.0,15.3,1.08,0.0,0.0,Summer,No Holiday,Yes,6,Friday,July,2018,1024.0
6372,12.0,31.9,49.0,1.9,2000.0,19.8,1.85,0.0,0.0,Summer,No Holiday,Yes,23,Thursday,August,2018,769.0
307,19.0,-6.6,31.0,1.6,2000.0,-20.9,0.0,0.0,0.0,Winter,No Holiday,Yes,13,Wednesday,December,2017,373.0
1278,6.0,-11.5,47.0,3.2,2000.0,-20.5,0.0,0.0,1.0,Winter,No Holiday,Yes,23,Tuesday,January,2018,84.0
348,12.0,-2.5,43.0,0.7,895.0,-13.3,0.34,0.0,0.0,Winter,No Holiday,Yes,15,Friday,December,2017,309.0
8116,4.0,6.9,70.0,1.5,1314.0,1.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,4,Sunday,November,2018,188.0
7224,0.0,17.1,52.0,1.4,2000.0,7.1,0.0,0.0,0.0,Autumn,No Holiday,No,28,Friday,September,2018,0.0
4250,2.0,19.0,62.0,1.8,974.0,11.5,0.0,0.0,0.0,Spring,No Holiday,Yes,27,Sunday,May,2018,555.0
6453,21.0,22.5,65.0,1.1,2000.0,15.5,0.0,0.0,0.0,Summer,No Holiday,Yes,26,Sunday,August,2018,1276.0
8313,9.0,5.2,55.0,1.4,1752.0,-3.1,0.67,0.0,0.0,Autumn,No Holiday,Yes,12,Monday,November,2018,931.0
1791,15.0,3.7,40.0,5.3,1950.0,-8.6,1.96,0.0,0.0,Winter,No Holiday,Yes,13,Tuesday,February,2018,295.0
6126,6.0,26.7,89.0,0.6,615.0,24.7,0.0,0.0,0.0,Summer,No Holiday,Yes,13,Monday,August,2018,594.0
5022,6.0,22.0,90.0,0.4,373.0,20.2,0.04,0.1,0.0,Summer,No Holiday,Yes,28,Thursday,June,2018,594.0
5652,12.0,34.5,50.0,1.4,1901.0,22.5,1.89,0.0,0.0,Summer,No Holiday,Yes,24,Tuesday,July,2018,671.0
6548,20.0,24.9,70.0,1.2,1377.0,19.0,0.0,0.0,0.0,Summer,No Holiday,Yes,30,Thursday,August,2018,1685.0
2053,13.0,5.3,29.0,2.1,1007.0,-11.3,2.08,0.0,0.0,Winter,No Holiday,Yes,24,Saturday,February,2018,412.0
2232,0.0,8.5,87.0,0.9,303.0,6.4,0.0,0.0,0.0,Spring,No Holiday,Yes,4,Sunday,March,2018,161.0
6884,20.0,24.6,62.0,0.9,2000.0,16.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,13,Thursday,September,2018,2003.0
71,23.0,3.9,90.0,1.3,194.0,2.4,0.0,0.0,0.0,Winter,No Holiday,Yes,3,Sunday,December,2017,303.0
7588,4.0,7.1,79.0,1.2,1567.0,3.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,13,Saturday,October,2018,226.0
2759,23.0,8.0,82.0,1.3,196.0,5.1,0.0,0.0,0.0,Spring,No Holiday,Yes,25,Sunday,March,2018,336.0
4738,10.0,21.8,46.0,0.9,1927.0,9.6,2.46,0.0,0.0,Summer,No Holiday,Yes,16,Saturday,June,2018,1166.0
7703,23.0,9.7,56.0,0.7,2000.0,1.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,17,Wednesday,October,2018,896.0
8156,20.0,12.7,75.0,2.0,433.0,8.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,5,Monday,November,2018,1464.0
3847,7.0,12.1,71.0,1.6,876.0,6.9,0.34,0.0,0.0,Spring,No Holiday,No,10,Thursday,May,2018,0.0
6780,12.0,25.9,39.0,1.2,1950.0,10.8,2.89,0.0,0.0,Autumn,No Holiday,Yes,9,Sunday,September,2018,1220.0
6203,11.0,33.5,48.0,2.4,1968.0,20.9,2.71,0.0,0.0,Summer,No Holiday,Yes,16,Thursday,August,2018,672.0
2805,21.0,13.4,73.0,1.5,325.0,8.6,0.0,0.0,0.0,Spring,No Holiday,Yes,27,Tuesday,March,2018,866.0
1260,12.0,3.9,28.0,0.9,1383.0,-12.9,0.6,0.0,0.0,Winter,No Holiday,Yes,22,Monday,January,2018,323.0
1666,10.0,-6.3,46.0,1.3,1346.0,-16.0,1.01,0.0,0.0,Winter,No Holiday,Yes,8,Thursday,February,2018,160.0
4755,3.0,19.9,80.0,1.6,741.0,16.3,0.0,0.0,0.0,Summer,No Holiday,Yes,17,Sunday,June,2018,491.0
3961,1.0,17.5,78.0,0.6,277.0,13.6,0.0,0.0,0.0,Spring,No Holiday,Yes,15,Tuesday,May,2018,563.0
6592,16.0,30.5,41.0,1.4,1930.0,15.7,1.95,0.0,0.0,Autumn,No Holiday,Yes,1,Saturday,September,2018,1678.0
4936,16.0,31.3,32.0,3.2,1427.0,12.6,2.38,0.0,0.0,Summer,No Holiday,Yes,24,Sunday,June,2018,1471.0
4103,23.0,15.8,30.0,1.1,2000.0,-1.7,0.0,0.0,0.0,Spring,No Holiday,Yes,20,Sunday,May,2018,943.0
2167,7.0,2.6,89.0,4.3,320.0,0.9,0.0,0.0,0.0,Spring,Holiday,Yes,1,Thursday,March,2018,61.0
1445,5.0,-11.3,53.0,1.6,1979.0,-19.0,0.0,0.0,0.0,Winter,No Holiday,Yes,30,Tuesday,January,2018,47.0
8233,1.0,11.4,89.0,2.6,1376.0,9.6,0.0,0.0,0.0,Autumn,No Holiday,No,9,Friday,November,2018,0.0
2533,13.0,10.4,38.0,2.4,1959.0,-3.3,2.99,0.0,0.0,Spring,No Holiday,Yes,16,Friday,March,2018,715.0
4296,0.0,20.6,54.0,2.6,1737.0,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,29,Tuesday,May,2018,841.0
1695,15.0,5.0,24.0,1.0,1037.0,-13.9,1.16,0.0,0.0,Winter,No Holiday,Yes,9,Friday,February,2018,315.0
2892,12.0,18.2,38.0,4.2,1189.0,3.6,2.41,0.0,0.0,Spring,No Holiday,Yes,31,Saturday,March,2018,1072.0
1095,15.0,7.4,38.0,1.7,817.0,-6.0,0.63,0.0,0.0,Winter,No Holiday,Yes,15,Monday,January,2018,349.0
6987,3.0,18.7,76.0,0.5,1916.0,14.3,0.0,0.0,0.0,Autumn,No Holiday,No,18,Tuesday,September,2018,0.0
8282,2.0,7.9,85.0,1.1,275.0,5.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,11,Sunday,November,2018,370.0
3203,11.0,16.9,15.0,1.7,1994.0,-9.9,1.8,0.0,0.0,Spring,No Holiday,Yes,13,Friday,April,2018,867.0
4539,3.0,18.6,83.0,2.9,889.0,15.6,0.0,0.0,0.0,Summer,No Holiday,Yes,8,Friday,June,2018,365.0
1630,22.0,-11.1,43.0,1.8,1960.0,-21.2,0.0,0.0,0.0,Winter,No Holiday,Yes,6,Tuesday,February,2018,169.0
5694,6.0,27.4,77.0,0.7,1113.0,23.0,0.0,0.0,0.0,Summer,No Holiday,Yes,26,Thursday,July,2018,602.0
1881,9.0,-6.5,26.0,2.4,1874.0,-22.8,0.64,0.0,0.0,Winter,Holiday,Yes,17,Saturday,February,2018,98.0
4993,1.0,20.0,96.0,3.0,182.0,19.3,0.0,0.1,0.0,Summer,No Holiday,Yes,27,Wednesday,June,2018,254.0
6239,23.0,25.2,47.0,1.2,2000.0,13.0,0.0,0.0,0.0,Summer,No Holiday,Yes,17,Friday,August,2018,1466.0
1612,4.0,-12.0,36.0,2.7,1998.0,-24.0,0.0,0.0,0.0,Winter,No Holiday,Yes,6,Tuesday,February,2018,32.0
978,18.0,-7.8,32.0,4.5,2000.0,-21.6,0.02,0.0,0.0,Winter,No Holiday,Yes,10,Wednesday,January,2018,437.0
1413,21.0,-7.3,34.0,3.5,2000.0,-20.5,0.0,0.0,0.0,Winter,No Holiday,Yes,28,Sunday,January,2018,106.0
7456,16.0,20.7,34.0,2.0,2000.0,4.2,1.23,0.0,0.0,Autumn,No Holiday,Yes,7,Sunday,October,2018,2270.0
5639,23.0,30.0,58.0,1.6,2000.0,20.8,0.0,0.0,0.0,Summer,No Holiday,Yes,23,Monday,July,2018,1157.0
848,8.0,-5.3,51.0,1.0,1319.0,-13.8,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Friday,January,2018,665.0
6200,8.0,28.2,68.0,1.3,2000.0,21.7,0.41,0.0,0.0,Summer,No Holiday,Yes,16,Thursday,August,2018,1660.0
8287,7.0,6.4,84.0,1.3,369.0,3.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,11,Sunday,November,2018,228.0
6839,23.0,20.9,53.0,1.8,2000.0,10.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,11,Tuesday,September,2018,1240.0
2877,21.0,13.7,73.0,1.8,658.0,8.9,0.0,0.0,0.0,Spring,No Holiday,Yes,30,Friday,March,2018,948.0
2271,15.0,10.3,43.0,2.5,2000.0,-1.7,2.45,0.0,0.0,Spring,No Holiday,Yes,5,Monday,March,2018,637.0
2392,16.0,8.3,37.0,3.8,1867.0,-5.5,1.73,0.0,0.0,Spring,No Holiday,Yes,10,Saturday,March,2018,972.0
7323,3.0,11.8,78.0,0.3,1843.0,8.0,0.0,0.0,0.0,Autumn,No Holiday,No,2,Tuesday,October,2018,0.0
1830,6.0,-2.6,38.0,1.0,2000.0,-15.0,0.0,0.0,0.0,Winter,Holiday,Yes,15,Thursday,February,2018,39.0
3668,20.0,11.1,91.0,4.0,716.0,9.6,0.0,0.5,0.0,Spring,No Holiday,Yes,2,Wednesday,May,2018,123.0
6232,16.0,33.7,26.0,1.5,2000.0,11.5,2.39,0.0,0.0,Summer,No Holiday,Yes,17,Friday,August,2018,1112.0
4222,22.0,18.3,54.0,1.7,1394.0,8.8,0.0,0.0,0.0,Spring,No Holiday,Yes,25,Friday,May,2018,1630.0
47,23.0,4.0,56.0,1.0,1352.0,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017,366.0
4881,9.0,24.2,47.0,1.2,822.0,12.1,1.94,0.0,0.0,Summer,No Holiday,Yes,22,Friday,June,2018,1284.0
5824,16.0,37.0,38.0,1.2,2000.0,20.3,2.07,0.0,0.0,Summer,No Holiday,Yes,31,Tuesday,July,2018,763.0
1350,6.0,-17.4,40.0,1.6,2000.0,-27.7,0.0,0.0,0.5,Winter,No Holiday,Yes,26,Friday,January,2018,64.0
8430,6.0,1.0,77.0,0.6,1259.0,-2.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,17,Saturday,November,2018,151.0
1234,10.0,-1.3,37.0,0.8,1070.0,-14.1,0.47,0.0,0.0,Winter,No Holiday,Yes,21,Sunday,January,2018,189.0
5890,10.0,34.3,48.0,2.5,1822.0,21.7,2.12,0.0,0.0,Summer,No Holiday,Yes,3,Friday,August,2018,530.0
5235,3.0,20.4,59.0,1.0,2000.0,12.1,0.0,0.0,0.0,Summer,No Holiday,Yes,7,Saturday,July,2018,545.0
446,14.0,-2.2,23.0,3.7,1971.0,-20.5,1.09,0.0,2.2,Winter,No Holiday,Yes,19,Tuesday,December,2017,178.0
2248,16.0,11.7,82.0,1.1,753.0,8.7,0.32,0.0,0.0,Spring,No Holiday,Yes,4,Sunday,March,2018,396.0
1743,15.0,-2.6,31.0,2.7,1987.0,-17.4,1.36,0.0,0.0,Winter,No Holiday,Yes,11,Sunday,February,2018,181.0
844,4.0,-5.1,55.0,1.7,1266.0,-12.7,0.0,0.0,0.0,Winter,No Holiday,Yes,5,Friday,January,2018,47.0
4634,2.0,17.7,87.0,1.2,2000.0,15.5,0.0,0.0,0.0,Summer,No Holiday,Yes,12,Tuesday,June,2018,385.0
7345,1.0,13.8,75.0,0.5,2000.0,9.4,0.0,0.0,0.0,Autumn,Holiday,Yes,3,Wednesday,October,2018,882.0
3289,1.0,9.0,36.0,1.0,1994.0,-5.3,0.0,0.0,0.0,Spring,No Holiday,Yes,17,Tuesday,April,2018,421.0
4151,23.0,16.3,96.0,1.1,198.0,15.6,0.0,2.5,0.0,Spring,Holiday,Yes,22,Tuesday,May,2018,18.0
39,15.0,7.6,41.0,2.3,1953.0,-4.8,0.74,0.0,0.0,Winter,No Holiday,Yes,2,Saturday,December,2017,589.0
2440,16.0,14.5,34.0,3.1,471.0,-1.2,1.59,0.0,0.0,Spring,No Holiday,Yes,12,Monday,March,2018,752.0
3103,7.0,0.6,97.0,1.3,66.0,0.1,0.05,0.0,0.0,Spring,No Holiday,Yes,9,Monday,April,2018,651.0
6888,0.0,22.1,74.0,1.1,1962.0,17.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,14,Friday,September,2018,971.0
7162,10.0,18.0,44.0,1.3,1984.0,5.5,1.99,0.0,0.0,Autumn,Holiday,Yes,25,Tuesday,September,2018,667.0
678,6.0,0.8,68.0,0.6,673.0,-4.4,0.0,0.0,0.0,Winter,No Holiday,Yes,29,Friday,December,2017,128.0
7106,2.0,16.0,72.0,1.3,2000.0,10.9,0.0,0.0,0.0,Autumn,Holiday,Yes,23,Sunday,September,2018,489.0
7984,16.0,11.3,41.0,3.6,2000.0,-1.4,0.94,0.0,0.0,Autumn,No Holiday,Yes,29,Monday,October,2018,1069.0
6427,19.0,25.8,62.0,3.3,2000.0,17.9,0.27,0.0,0.0,Summer,No Holiday,Yes,25,Saturday,August,2018,2043.0
1294,22.0,-13.9,45.0,4.0,2000.0,-23.2,0.0,0.0,0.9,Winter,No Holiday,Yes,23,Tuesday,January,2018,117.0
4685,5.0,20.3,84.0,3.2,518.0,17.5,0.0,0.0,0.0,Summer,No Holiday,Yes,14,Thursday,June,2018,154.0
4604,20.0,22.8,55.0,1.3,2000.0,13.2,0.01,0.0,0.0,Summer,No Holiday,Yes,10,Sunday,June,2018,2300.0
5259,3.0,18.8,56.0,1.2,2000.0,9.8,0.0,0.0,0.0,Summer,No Holiday,Yes,8,Sunday,July,2018,460.0
971,11.0,-6.4,49.0,4.5,1759.0,-15.3,0.86,0.0,0.5,Winter,No Holiday,Yes,10,Wednesday,January,2018,168.0
3442,10.0,8.6,95.0,2.5,578.0,7.8,0.2,4.0,0.0,Spring,No Holiday,Yes,23,Monday,April,2018,12.0
6651,3.0,20.6,97.0,0.2,500.0,20.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,4,Tuesday,September,2018,223.0
5552,8.0,26.6,70.0,1.3,1062.0,20.6,1.01,0.0,0.0,Summer,No Holiday,Yes,20,Friday,July,2018,1896.0
1112,8.0,1.2,68.0,0.6,411.0,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,16,Tuesday,January,2018,650.0
4288,16.0,28.1,43.0,3.4,845.0,14.3,2.32,0.0,0.0,Spring,No Holiday,Yes,28,Monday,May,2018,1497.0
776,8.0,-3.4,71.0,0.8,1179.0,-7.9,0.0,0.0,0.0,Winter,No Holiday,Yes,2,Tuesday,January,2018,655.0
